,STATE,YEAR_x,GRAD_PERCENT,TOTAL_REVENUE,LOCAL_REVENUE,STATE_REVENUE,FEDERAL_REVENUE,LOCAL_PERCENT,FED_PERCENT,STATE_PERCENT,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,INSTRUCTION_EXPENDITURE
64,IDAHO,2011,82.0,2089982.0,477227.0,1320153.0,292602.0,0.22834024407865713,0.14000216269805194,0.631657593223291,1960818.0,613667.0,1104553.0
65,ILLINOIS,2011,86.0,29507584.0,16582005.0,10030682.0,2894897.0,0.5619573937330823,0.09810687991263534,0.3399357263542823,28525858.0,9271610.0,14636402.0
66,INDIANA,2011,89.0,12125155.0,3760382.0,7340384.0,1024389.0,0.3101306333815939,0.08448461071219296,0.6053847559062132,11113533.0,3548729.0,5609296.0
67,IOWA,2011,85.0,6098470.0,2964028.0,2537754.0,596688.0,0.4860281349256453,0.09784224567801432,0.4161296193963404,6057294.0,1638449.0,2995991.0
68,KANSAS,2011,,5538869.0,1981594.0,2945175.0,612100.0,0.3577614852418427,0.11050992540173815,0.5317285893564192,5662146.0,1530694.0,2839803.0
69,KENTUCKY,2011,72.0,7104589.0,2235751.0,3704150.0,1164688.0,0.3146911102105977,0.16393460621015515,0.5213742835792472,7253850.0,2238626.0,3663998.0
70,LOUISIANA,2011,85.0,8022917.0,3256334.0,3269321.0,1497262.0,0.4058790587014673,0.1866231446741877,0.407497796624345,8218870.0,2582814.0,4162557.0
71,MAINE,2011,84.0,2654366.0,1321795.0,1043281.0,289290.0,0.49797013674828566,0.10898647737350463,0.3930433858782097,2728535.0,874220.0,1431522.0
72,MARYLAND,2011,85.0,13443940.0,6679637.0,5508339.0,1255964.0,0.4968511463157378,0.09342231518438791,0.4097265384998743,13247697.0,4150447.0,7205515.0
73,MASSACHUSETTS,2011,76.0,15396681.0,8416058.0,5783240.0,1197383.0,0.5466150789251268,0.07776890357084101,0.3756160175040322,15150898.0,4583586.0,8685894.0
74,MICHIGAN,2011,78.0,19374026.0,7002990.0,9845508.0,2525528.0,0.36146281624686577,0.1303563853997099,0.5081807983534243,18469948.0,6024406.0,9198775.0
75,MINNESOTA,2011,75.0,10912368.0,3779550.0,6289912.0,842906.0,0.346354705046604,0.07724317948221687,0.5764021154711791,10612480.0,2520057.0,5644771.0
76,MISSISSIPPI,2011,84.0,4516742.0,1438810.0,2071467.0,1006465.0,0.3185504064655453,0.22282986276391256,0.45861973077054213,4345783.0,1393211.0,2238165.0
77,MISSOURI,2011,84.0,9915356.0,4742205.0,3828396.0,1344755.0,0.4782687580758573,0.1356234713105611,0.3861077706135816,9842505.0,2975252.0,5100879.0
78,MONTANA,2011,88.0,1631810.0,653651.0,713642.0,264517.0,0.4005680808427452,0.16210036707704942,0.4373315520802054,1655584.0,540180.0,902615.0
79,NEBRASKA,2011,63.0,3879388.0,2154342.0,1153077.0,571969.0,0.5553303768532563,0.14743794639773078,0.29723167674901296,3676326.0,951912.0,2101943.0
80,NEVADA,2011,86.0,4146577.0,1339904.0,2359671.0,447002.0,0.3231349616804415,0.10780024101807346,0.5690647973014851,4258855.0,1377125.0,2161550.0
81,NEW_HAMPSHIRE,2011,86.0,2947007.0,1701228.0,1061011.0,184768.0,0.5772731452622949,0.0626968310560511,0.360030023681654,3001244.0,855476.0,1654129.0
82,NEW_JERSEY,2011,70.0,26242376.0,15626956.0,9331426.0,1283994.0,0.5954855612159509,0.04892826777575323,0.35558617100829587,25716298.0,8634990.0,14113108.0
83,NEW_MEXICO,2011,77.0,3591330.0,599684.0,2355210.0,636436.0,0.16698103488122784,0.1772145695327358,0.6558043955860364,3694437.0,1124390.0,1744548.0
84,NEW_YORK,2011,80.0,57753776.0,29447297.0,23188002.0,5118477.0,0.5098765663391429,0.0886258415380494,0.40149759212280767,59446908.0,14460678.0,37834196.0
85,NORTH_CAROLINA,2011,87.0,14409515.0,4873991.0,7488570.0,2046954.0,0.33824809509549764,0.14205571804463926,0.5196961868598631,13767024.0,3843709.0,7566249.0
86,NORTH_DAKOTA,2011,81.0,1309044.0,491770.0,630430.0,186844.0,0.3756711004366545,0.14273317016081966,0.4815957294025258,1312226.0,360118.0,660944.0
87,OHIO,2011,,23488657.0,11120540.0,9834235.0,2533882.0,0.4734429899504259,0.1078768360404769,0.41868017400909724,23010396.0,7570565.0,11074360.0
88,OKLAHOMA,2011,68.0,5835133.0,2125546.0,2741058.0,968529.0,0.3642669327331528,0.165982334935639,0.46975073233120823,5644988.0,1814927.0,2866601.0
89,OREGON,2011,84.0,6112484.0,2471085.0,2792762.0,848637.0,0.40426854287062347,0.13883668243548777,0.4568947746938888,6317635.0,2071303.0,3261190.0
90,PENNSYLVANIA,2011,77.0,28492510.0,15859449.0,9261234.0,3371827.0,0.5566181779000867,0.1183408200962288,0.32504100200368446,28810721.0,7947108.0,13761915.0
91,RHODE_ISLAND,2011,75.0,2212352.0,1209528.0,768713.0,234111.0,0.5467158933117334,0.10581995993404304,0.34746414675422355,2198940.0,736651.0,1260021.0
92,SOUTH_CAROLINA,2011,83.0,7772777.0,3392490.0,3338715.0,1041572.0,0.4364579094447197,0.13400255790176407,0.42953953265351624,7961448.0,2428477.0,3689782.0
93,SOUTH_DAKOTA,2011,87.0,1297661.0,660618.0,374648.0,262395.0,0.5090836512771826,0.20220612317084355,0.2887102255519739,1350617.0,390655.0,661519.0
94,TENNESSEE,2011,88.0,8679893.0,3451592.0,3955476.0,1272825.0,0.3976537498791748,0.1466406325515764,0.4557056175692488,8961443.0,2635217.0,4947165.0
95,TEXAS,2011,80.0,51023159.0,23581826.0,19623258.0,7818075.0,0.4621788705791423,0.15322600860522964,0.3845951208156281,52691826.0,14325757.0,25155007.0
96,UTAH,2011,88.0,4141253.0,1582359.0,2058112.0,500782.0,0.38209667460548774,0.12092523687879006,0.49697808851572217,4195916.0,1018548.0,2157337.0
97,VERMONT,2011,83.0,1686499.0,250504.0,1329172.0,106823.0,0.14853492353093598,0.06334009092208177,0.7881249855469823,1722515.0,511825.0,888388.0
98,VIRGINIA,2011,77.0,14655345.0,7876867.0,5351177.0,1427301.0,0.5374740069237538,0.09739115660532045,0.3651348364709258,14675815.0,4602566.0,7861076.0
99,WASHINGTON,2011,79.0,11905941.0,3779807.0,6758505.0,1367629.0,0.31747234426913423,0.11486945886931575,0.5676581968615501,11928408.0,3427282.0,6007184.0
100,WEST_VIRGINIA,2011,88.0,3475642.0,1037660.0,1927726.0,510256.0,0.2985520372926786,0.14680913626892528,0.5546388264383961,3670119.0,1160212.0,2010407.0
101,WISCONSIN,2011,79.0,11664303.0,5434440.0,5226954.0,1002909.0,0.4659035349133163,0.0859810483318206,0.4481154167548631,11440718.0,3668777.0,6138402.0
102,WYOMING,2011,80.0,1650621.0,616687.0,878979.0,154955.0,0.373609084096228,0.09387678940229162,0.5325141265014803,1656850.0,528352.0,825783.0
103,ALABAMA,2012,71.8,7136949.0,2398344.0,3948651.0,789954.0,0.3360461171853687,0.11068511208360883,0.5532687707310224,7222161.0,2239569.0,3695221.0
104,ALASKA,2012,75.1,2383402.0,523484.0,1507913.0,352005.0,0.21963730835167547,0.14769015046559497,0.6326725411827295,2483320.0,947153.0,1255757.0
105,ARIZONA,2012,84.9,7934798.0,4039035.0,2845535.0,1050228.0,0.509028081118133,0.1323572446330707,0.35861467424879623,8054662.0,2856528.0,3917564.0
106,ARKANSAS,2012,80.4,5169926.0,680487.0,3823172.0,666267.0,0.13162412769544476,0.1288736047672636,0.7395022675372916,5299969.0,1683928.0,2548056.0
107,CALIFORNIA,2012,76.9,69016392.0,23809794.0,36413273.0,8793325.0,0.3449875212253924,0.127409224753447,0.5276032540211607,70191877.0,20393761.0,34213049.0
108,COLORADO,2012,85.5,8616009.0,4207948.0,3702427.0,705634.0,0.4883871407283813,0.08189801101646946,0.4297148482551492,8472536.0,2751179.0,4174705.0
109,CONNECTICUT,2012,80.4,10070907.0,5825867.0,3735476.0,509564.0,0.5784848375622971,0.05059762740337092,0.37091753503433206,9791336.0,2932123.0,5485615.0
110,DELAWARE,2012,62.3,1855867.0,582014.0,1090060.0,183793.0,0.3136076022689126,0.09903349755127927,0.5873589001798082,1915966.0,531313.0,1053066.0
111,DISTRICT_OF_COLUMBIA,2012,75.6,1331006.0,1193264.0,0.0,137742.0,0.8965128632027204,0.10348713679727965,0.0,1189542.0,266716.0,594156.0
112,FLORIDA,2012,71.7,24139266.0,12368628.0,8702317.0,3068321.0,0.5123862506838444,0.12710912585328815,0.3605046234628675,25352047.0,7607362.0,13558844.0
113,GEORGIA,2012,82.4,17559894.0,8242450.0,7455147.0,1862297.0,0.46939064666335684,0.10605400009817827,0.4245553532384649,17400209.0,5043644.0,9611118.0
114,HAWAII,2012,,2535038.0,55056.0,2161254.0,318728.0,0.021718017639183317,0.1257290817731332,0.8525529005876835,2344733.0,814511.0,1262938.0
115,IDAHO,2012,83.2,1981482.0,476406.0,1238989.0,266087.0,0.24042913334564736,0.13428686205577442,0.6252840045985782,1911706.0,609786.0,1073312.0
116,ILLINOIS,2012,87.0,29900021.0,17327471.0,10142137.0,2430413.0,0.5795136732512662,0.08128465862950397,0.33920166811922975,29067543.0,9358604.0,14896596.0
117,INDIANA,2012,89.7,12395432.0,3835936.0,7462594.0,1096902.0,0.3094636798459303,0.08849243818206579,0.6020438819720039,11351906.0,3670372.0,5659432.0
118,IOWA,2012,85.7,6262807.0,3069526.0,2681035.0,512246.0,0.49011984562193917,0.08179175887106213,0.4280883955069987,6256926.0,1688512.0,3072424.0
119,KANSAS,2012,86.1,5613619.0,2030363.0,3173205.0,410051.0,0.36168521590082975,0.0730457482062819,0.5652690358928883,5615714.0,1569972.0,2935226.0
120,KENTUCKY,2012,73.5,7192430.0,2288227.0,3920971.0,983232.0,0.318143798410273,0.13670372878151055,0.5451524728082164,7444529.0,2320305.0,3697663.0
